model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,val_auc,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
blitz,1,0.01,True,0.0,22,128,0.1,128,True,True,0.6826116526864656,0.6061130334486736,0.07386363636363637,0.6265060240963856,0.1321473951715375,0.6700429823473179,0.818286120891571,20
blitz,1,0.01,True,0.0,22,128,0.1,128,False,True,0.6515529358422126,0.776239907727797,0.08446866485013624,0.37349397590361444,0.13777777777777775,0.6729036071603192,0.6769291162490845,15
blitz,1,0.01,True,0.0,23,32,0.1,128,True,True,0.740648379052369,0.8166089965397924,0.10963455149501661,0.39759036144578314,0.171875,0.6973429757795568,0.6533612012863159,30
blitz,1,0.01,True,0.0,23,32,0.1,128,False,True,0.7463160281115393,0.7306805074971164,0.09322033898305085,0.5301204819277109,0.15855855855855855,0.6948618216050149,0.6450814604759216,25
blitz,1,0.01,True,0.0,23,64,0.1,128,True,True,0.7408750850147359,0.8558246828143022,0.10047846889952153,0.25301204819277107,0.14383561643835613,0.6818795472623382,0.741021454334259,35
blitz,1,0.01,True,0.0,23,64,0.1,128,False,True,0.7590115620040806,0.8114186851211073,0.10897435897435898,0.40963855421686746,0.1721518987341772,0.6869075332219247,0.6451927423477173,30
blitz,1,0.01,True,0.0,23,128,0.1,128,True,True,0.7590115620040807,0.8869665513264129,0.12080536912751678,0.21686746987951808,0.15517241379310345,0.6536089846971168,0.7897012233734131,25
blitz,1,0.01,True,0.0,23,128,0.1,128,False,True,0.7508501473588756,0.5334486735870819,0.07692307692307693,0.7951807228915663,0.14027630180658873,0.701006326943145,0.7086238265037537,15
blitz,1,0.01,True,0.0,24,32,0.1,128,True,True,0.7966447517569711,0.831603229527105,0.09652509652509653,0.30120481927710846,0.14619883040935674,0.6829595790794918,0.69093918800354,15
blitz,1,0.01,True,0.0,24,32,0.1,128,False,True,0.7778281568805259,0.5720876585928489,0.08025477707006369,0.7590361445783133,0.14516129032258063,0.7001014354206652,0.6407755613327026,10
blitz,1,0.01,True,0.0,24,64,0.1,128,True,True,0.7270460213103604,0.9446366782006921,0.25925925925925924,0.08433734939759036,0.1272727272727273,0.6763626279801216,0.8307812213897705,20
blitz,1,0.01,True,0.0,24,64,0.1,128,False,True,0.7270460213103604,0.5859284890426759,0.07947019867549669,0.7228915662650602,0.14319809069212414,0.6899287033050433,0.6597964763641357,35
blitz,1,0.01,True,0.0,24,128,0.1,128,True,True,0.7150306053049196,0.8898500576701269,0.10869565217391304,0.18072289156626506,0.13574660633484162,0.6854845183277021,0.7823435068130493,30
blitz,1,0.01,True,0.0,24,128,0.1,128,False,True,0.7293130809340285,0.49192618223760093,0.06911447084233262,0.7710843373493976,0.12685827552031717,0.6889143490983923,0.7029200196266174,5
blitz,1,0.01,True,0.0,25,32,0.1,128,True,True,0.6962140104284742,0.9036908881199539,0.11818181818181818,0.1566265060240964,0.13471502590673576,0.678799997080995,0.7563227415084839,15
blitz,1,0.01,True,0.0,25,32,0.1,128,False,True,0.6805712990251643,0.643598615916955,0.07740916271721959,0.5903614457831325,0.1368715083798883,0.6906000744346251,0.6473512649536133,35
blitz,1,0.01,True,0.0,25,64,0.1,128,True,True,0.6445250510088415,0.9111880046136102,0.11827956989247312,0.13253012048192772,0.12500000000000003,0.6691672808739502,0.8075802326202393,15
blitz,1,0.01,True,0.0,25,64,0.1,128,False,True,0.6962140104284743,0.825836216839677,0.10469314079422383,0.3493975903614458,0.16111111111111112,0.6820400925324557,0.7195751070976257,10
blitz,1,0.01,True,0.0,25,128,0.1,128,True,True,0.6066651552935842,0.8610149942329873,0.12380952380952381,0.3132530120481928,0.17747440273037543,0.6802522020243299,0.9026803970336914,30
blitz,1,0.01,True,0.0,25,128,0.1,128,False,True,0.6739968261165268,0.6862745098039216,0.08318264014466546,0.5542168674698795,0.14465408805031446,0.6769245364255325,0.7371893525123596,15
blitz,1,0.01,True,0.5,21,32,0.1,128,True,True,0.5206611570247933,0.6522491349480969,0.06666666666666667,0.4819277108433735,0.11713030746705709,0.6171652083804631,0.7029433250427246,30
blitz,1,0.01,True,0.5,21,32,0.1,128,False,True,0.7520661157024793,0.1632064590542099,0.05352480417754569,0.9879518072289156,0.10154798761609907,0.54045375931345,0.7004595398902893,15
blitz,1,0.01,True,0.5,21,64,0.1,128,True,True,0.7851239669421487,0.2433679354094579,0.05243991260014567,0.8674698795180723,0.09890109890109891,0.6221785993154934,0.7478348612785339,15
