model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f1,auc_roc,test_loss,ga_mean,ga_std,ga_min,ga_max
blitz,3,0.001,True,0.5,22,128,0.1,128,False,True,0.12698412698412698,0.12698412698412698,0.4819277108433735,0.20100502512562812,0.6883013580670349,1.717970609664917,0.1,0.3,0.0,1.0
blitz,3,0.001,True,0.5,22,128,0.1,128,False,False,0.12420382165605096,0.12420382165605096,0.46987951807228917,0.1964735516372796,0.6885494734844891,0.7242957353591919,0.2,0.4,0.0,1.0
blitz,3,0.001,True,1.0,22,128,0.1,128,True,True,0.11645569620253164,0.11645569620253164,0.5542168674698795,0.19246861924686195,0.6989119409193405,1.8615572452545166,0.1,0.3,0.0,1.0
blitz,3,0.001,True,1.0,22,128,0.1,128,True,False,0.11645569620253164,0.11645569620253164,0.5542168674698795,0.19246861924686195,0.6989119409193405,1.0057319402694702,0.13,0.34,0.0,1.0
blitz,3,0.001,True,1.0,22,128,0.1,128,False,True,0.09386281588447654,0.09386281588447654,0.6265060240963856,0.163265306122449,0.6983208424248174,1.6204752922058105,0.17,0.37,0.0,1.0
blitz,3,0.001,True,1.0,22,128,0.1,128,False,False,0.09386281588447654,0.09386281588447654,0.6265060240963856,0.163265306122449,0.6983208424248174,1.3170889616012573,0.0,0.0,0.0,0.0
blitz,3,0.001,False,0.0,22,128,0.1,128,True,True,0.34615384615384615,0.34615384615384615,0.43373493975903615,0.3850267379679144,0.69680295987098,2.9676897525787354,0.1,0.3,0.0,1.0
blitz,3,0.001,False,0.0,22,128,0.1,128,True,False,0.6666666666666666,0.6666666666666666,0.26506024096385544,0.3793103448275862,0.6841563710930945,0.42914432287216187,0.03,0.18,0.0,1.0
blitz,3,0.001,False,0.0,22,128,0.1,128,False,True,0.3564356435643564,0.3564356435643564,0.43373493975903615,0.391304347826087,0.7000503528347186,3.022620439529419,0.03,0.18,0.0,1.0
blitz,3,0.001,False,0.0,22,128,0.1,128,False,False,0.6842105263157895,0.6842105263157895,0.3132530120481928,0.4297520661157025,0.6924828326023658,0.46799036860466003,0.03,0.18,0.0,1.0
blitz,3,0.001,False,0.5,22,128,0.1,128,True,True,0.43283582089552236,0.43283582089552236,0.3493975903614458,0.38666666666666666,0.6888632665124459,5.615142822265625,0.1,0.3,0.0,1.0
blitz,3,0.001,False,0.5,22,128,0.1,128,True,False,0.7714285714285715,0.7714285714285715,0.3253012048192771,0.45762711864406785,0.6776032050673926,0.6139140725135803,0.03,0.18,0.0,1.0
