model,layers,learning_rate,under,oversample,hidden_layer_size,test_split,batch_size,augment,weight_loss,val_auc_mean,val_auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f_measure_mean,f_measure_std,auc_roc_mean,auc_roc_std,test_loss_mean,test_loss_std,best_epochs_mean,best_epochs_std
blitz,3,0.005,False,0.0,128,0.1,256,False,True,0.7547948311040581,0.04292849653374982,0.7205305651672433,0.07593712724370855,0.10084488434172387,0.012628827932679733,0.5927710843373494,0.11022614950826676,0.17110756623551546,0.017825131416476923,0.6954689746265498,0.0036221671010379397,0.6527762174606323,0.01317785088753606,20,6.123724356957945
blitz,4,0.005,False,0.0,128,0.1,256,True,True,0.753593289503514,0.04448165098714357,0.8206459054209919,0.08328392991267007,0.13527001252884188,0.022558848321601536,0.4554216867469879,0.22498205602549534,0.1915565568341592,0.0196770368045688,0.6975589821429875,0.008597780499813188,0.6853590607643127,0.027834476575751377,22,13.96424004376894
blitz,4,0.005,True,0.0,128,0.1,256,True,True,0.753593289503514,0.04448165098714357,0.8206459054209919,0.08328392991267007,0.13527001252884188,0.022558848321601536,0.4554216867469879,0.22498205602549534,0.1915565568341592,0.0196770368045688,0.6975589821429875,0.008597780499813188,0.6853590607643127,0.027834476575751377,22,13.96424004376894
blitz,3,0.005,False,0.0,128,0.2,256,False,True,0.7535366130129222,0.03811953486624518,0.760322952710496,0.08443662870053648,0.11148346716578736,0.016663236172223303,0.5397590361445783,0.16195747001355645,0.17958059019502923,0.011769784348559513,0.6999481876628257,0.005330641661736051,0.6613603949546814,0.02647329473355928,18,8.366600265340756
blitz,3,0.005,True,0.0,128,0.2,256,False,True,0.7535366130129222,0.03811953486624518,0.760322952710496,0.08443662870053648,0.11148346716578736,0.016663236172223303,0.5397590361445783,0.16195747001355645,0.17958059019502923,0.011769784348559513,0.6999481876628257,0.005330641661736051,0.6613603949546814,0.02647329473355928,18,8.366600265340756
blitz,2,0.01,False,0.0,64,0.1,256,True,True,0.7521197007481297,0.025332603449489028,0.8836216839677047,0.05520450114615489,0.10718311498799302,0.03495075997639253,0.20481927710843376,0.174802628054782,0.11759442165229814,0.06759815900826158,0.6698474090182657,0.014146198281893677,0.7599618792533874,0.06296963412895586,26,12.449899597988733
blitz,2,0.01,True,0.0,64,0.1,256,True,True,0.7521197007481297,0.025332603449489028,0.8836216839677047,0.05520450114615489,0.10718311498799302,0.03495075997639253,0.20481927710843376,0.174802628054782,0.11759442165229814,0.06759815900826158,0.6698474090182657,0.014146198281893677,0.7599618792533874,0.06296963412895586,26,12.449899597988733
blitz,1,0.005,False,0.5,128,0.1,256,True,True,0.7506084788029925,0.05755036826798372,0.8858131487889274,0.02535846697338024,0.16373709140925524,0.03148221535308765,0.31566265060240967,0.059878427179706845,0.21079069299079906,0.023197228831096327,0.7047017871607568,0.010772262242469648,0.7166702270507812,0.039843736284543796,27,7.582875444051551
blitz,1,0.005,True,0.0,32,0.1,256,False,True,0.750034005894355,0.031479737205006984,0.7734717416378316,0.03722605572962149,0.10607871920113623,0.007921129596200397,0.5012048192771085,0.09993465712447094,0.17433720255156207,0.01363189533217572,0.7031649310749964,0.01093812306558231,0.6469236493110657,0.01927962584409534,22,9.082951062292475
blitz,1,0.005,False,0.0,32,0.1,256,False,True,0.750034005894355,0.031479737205006984,0.7734717416378316,0.03722605572962149,0.10607871920113623,0.007921129596200397,0.5012048192771085,0.09993465712447094,0.17433720255156207,0.01363189533217572,0.7031649310749964,0.01093812306558231,0.6469236493110657,0.01927962584409534,22,9.082951062292475
blitz,1,0.005,True,0.0,64,0.1,128,False,True,0.7499433235094083,0.04794254925445126,0.7149942329873127,0.04878395081793247,0.09868925256664962,0.008953324098715314,0.6,0.07446523923066242,0.16882791899130406,0.01100105967153184,0.7001437609918778,0.013882989587628446,0.6428529739379882,0.013957829784214964,15,11.180339887498949
blitz,1,0.005,False,0.0,64,0.1,128,False,True,0.7499433235094083,0.04794254925445126,0.7149942329873127,0.04878395081793247,0.09868925256664962,0.008953324098715314,0.6,0.07446523923066242,0.16882791899130406,0.01100105967153184,0.7001437609918778,0.013882989587628446,0.6428529739379882,0.013957829784214964,15,11.180339887498949
blitz,1,0.01,False,0.0,64,0.1,256,False,True,0.7498979823169349,0.05759991335153283,0.7235294117647059,0.061018155651423836,0.0941135901987882,0.012673789977754854,0.5397590361445783,0.07780185200464064,0.15943942538369787,0.017970055740275704,0.6905811009027023,0.010717092593060843,0.653104817867279,0.012745435147163618,14,9.617692030835672
blitz,1,0.01,True,0.0,64,0.1,256,False,True,0.7498979823169349,0.05759991335153283,0.7235294117647059,0.061018155651423836,0.0941135901987882,0.012673789977754854,0.5397590361445783,0.07780185200464064,0.15943942538369787,0.017970055740275704,0.6905811009027023,0.010717092593060843,0.653104817867279,0.012745435147163618,14,9.617692030835672
blitz,2,0.005,False,0.0,128,0.2,256,True,True,0.7494899115846747,0.039207496002240085,0.8581314878892734,0.04060116189810522,0.1378499121824812,0.021804281223708886,0.3542168674698795,0.1042011966768176,0.19277632412438347,0.020967309053063196,0.6966278195763065,0.007238933555309035,0.7037019848823547,0.025693952385296176,21,9.617692030835672
blitz,2,0.005,True,0.0,128,0.2,256,True,True,0.7494899115846747,0.039207496002240085,0.8581314878892734,0.04060116189810522,0.1378499121824812,0.021804281223708886,0.3542168674698795,0.1042011966768176,0.19277632412438347,0.020967309053063196,0.6966278195763065,0.007238933555309035,0.7037019848823547,0.025693952385296176,21,9.617692030835672
