model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,val_auc,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
blitz,1,0.01,True,0.0,22,32,0.1,128,False,True,0.8165948764452505,0.748558246828143,0.09977324263038549,0.5301204819277109,0.16793893129770995,0.6956280603942117,0.6441529989242554,15
blitz,1,0.01,True,0.0,22,32,0.1,256,True,True,0.8224892314667875,0.7831603229527105,0.09863013698630137,0.43373493975903615,0.16071428571428573,0.6683353644742508,0.7494832873344421,15
blitz,1,0.01,True,0.0,22,32,0.1,256,False,True,0.7927907503967353,0.6251441753171857,0.08247422680412371,0.6746987951807228,0.1469816272965879,0.689549232666584,0.640224039554596,20
blitz,1,0.01,True,0.0,22,32,0.2,128,True,True,0.7335071412378146,0.9434832756632064,0.17391304347826086,0.04819277108433735,0.07547169811320756,0.6716776250976043,0.8216431140899658,25
blitz,1,0.01,True,0.0,22,32,0.2,128,False,True,0.7639990931761504,0.751441753171857,0.09534883720930233,0.4939759036144578,0.15984405458089668,0.6762239752468384,0.6680139303207397,20
blitz,1,0.01,True,0.0,22,32,0.2,256,True,True,0.7257424620267513,0.889273356401384,0.15723270440251572,0.30120481927710846,0.20661157024793386,0.6714149146555939,0.6914394497871399,15
blitz,1,0.01,True,0.0,22,32,0.2,256,False,True,0.7547041487191113,0.6372549019607843,0.0851063829787234,0.6746987951807228,0.15114709851551955,0.6905416943364008,0.6619561910629272,15
blitz,1,0.01,True,0.0,22,64,0.1,128,True,True,0.690546361369304,0.7277970011534025,0.09052631578947369,0.5180722891566265,0.15412186379928317,0.6694810739019069,0.7403581738471985,0
blitz,1,0.01,True,0.0,22,64,0.1,128,False,True,0.820675583767853,0.6833910034602076,0.0897887323943662,0.6144578313253012,0.15668202764976957,0.7017068881218392,0.6609719395637512,0
blitz,1,0.01,True,0.0,22,64,0.1,256,True,True,0.7195647245522556,0.9134948096885813,0.14736842105263157,0.1686746987951807,0.15730337078651685,0.6889654316843389,0.7618846297264099,0
blitz,1,0.01,True,0.0,22,64,0.1,256,False,True,0.8156880525957833,0.7854671280276817,0.09749303621169916,0.42168674698795183,0.15837104072398192,0.681492779111601,0.6593626141548157,0
blitz,1,0.01,True,0.0,22,64,0.2,128,True,True,0.7721605078213557,0.8275663206459054,0.11151079136690648,0.37349397590361444,0.17174515235457063,0.6926360803602052,0.7709010243415833,0
blitz,1,0.01,True,0.0,22,64,0.2,128,False,True,0.7447290863749716,0.6522491349480969,0.07654723127035831,0.5662650602409639,0.13486370157819225,0.6611765049294696,0.6712982058525085,0
blitz,1,0.01,True,0.0,22,64,0.2,256,True,True,0.7019950124688279,0.8402537485582469,0.12109375,0.37349397590361444,0.18289085545722714,0.6868564506359782,0.7371717691421509,0
blitz,1,0.01,True,0.0,22,64,0.2,256,False,True,0.7796984810700522,0.6066897347174164,0.08228730822873083,0.7108433734939759,0.1475,0.6911036027818116,0.6442049145698547,0
