layers,learning_rate,oversample,seed,hidden_layer_size,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
2,0.0001,0.0,21,32,0.05664263645726056,0.05664263645726056,0.6626506024096386,0.1043643263757116,0.5861434836864113,0.681853711605072,0
2,0.0001,0.0,21,64,0.14076246334310852,0.14076246334310852,0.5783132530120482,0.22641509433962267,0.7279414447614808,0.6738426685333252,160
2,0.0001,0.5,21,16,0.05006765899864682,0.05006765899864682,0.891566265060241,0.09481101857783471,0.5916129691388206,0.6879527568817139,10
2,0.0001,0.5,21,32,0.05007704160246533,0.05007704160246533,0.7831325301204819,0.0941346850108617,0.5131099808075428,0.6945970058441162,0
2,0.0001,0.5,21,64,0.07441253263707572,0.07441253263707572,0.6867469879518072,0.1342756183745583,0.6672991177307656,0.653799295425415,75
2,0.0001,1.0,21,16,0.049367088607594936,0.049367088607594936,0.9397590361445783,0.09380637402285026,0.6345843701882027,0.6842361092567444,95
2,0.0001,1.0,21,32,0.046142208774583963,0.046142208774583963,0.7349397590361446,0.08683274021352314,0.4953770259718462,0.6975309252738953,0
2,0.0001,1.0,21,64,0.06637168141592921,0.06637168141592921,0.7228915662650602,0.12158054711246201,0.6703859654243869,0.6504778265953064,135
2,0.001,0.0,21,16,0.17061611374407584,0.17061611374407584,0.43373493975903615,0.24489795918367346,0.698503280231769,1.094103455543518,65
2,0.001,0.0,21,32,0.21897810218978103,0.21897810218978103,0.3614457831325301,0.27272727272727276,0.683214992009224,1.5545392036437988,65
2,0.001,0.0,21,64,0.2761904761904762,0.2761904761904762,0.3493975903614458,0.3085106382978724,0.6937234096896367,1.757328748703003,40
2,0.001,0.5,21,16,0.1075050709939148,0.1075050709939148,0.6385542168674698,0.18402777777777776,0.699174651361351,0.7708756327629089,55
2,0.001,0.5,21,32,0.10851063829787234,0.10851063829787234,0.6144578313253012,0.18444846292947562,0.7012836324097116,0.7734389305114746,45
2,0.001,0.5,21,64,0.12098765432098765,0.12098765432098765,0.5903614457831325,0.20081967213114754,0.7053629417731495,1.022869348526001,60
2,0.001,1.0,21,16,0.0962566844919786,0.0962566844919786,0.6506024096385542,0.16770186335403725,0.6903081739435027,0.9115732908248901,135
2,0.001,1.0,21,32,0.09137055837563451,0.09137055837563451,0.6506024096385542,0.16023738872403562,0.6991235687754044,0.9347260594367981,100
2,0.001,1.0,21,64,0.08818897637795275,0.08818897637795275,0.6746987951807228,0.15598885793871867,0.7010574095290916,1.1388428211212158,95
