model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
blitz,1,0.01,False,0.0,22,32,0.1,128,True,False,0.0,0.0,0.0,0.0,0.5549320236731299,0.19907519221305847,0
blitz,1,0.01,False,0.0,22,32,0.1,128,False,True,0.10979228486646884,0.10979228486646884,0.4457831325301205,0.17619047619047618,0.6900235709646582,0.6765990853309631,15
blitz,1,0.01,False,0.0,22,32,0.1,128,False,False,0.0,0.0,0.0,0.0,0.46546452314406017,0.20193101465702057,0
blitz,1,0.01,False,0.0,22,64,0.1,128,True,True,0.0839041095890411,0.0839041095890411,0.5903614457831325,0.14692653673163417,0.6753409762611926,0.6702983379364014,0
blitz,1,0.01,False,0.0,22,64,0.1,128,True,False,0.1875,0.1875,0.03614457831325301,0.0606060606060606,0.5419059642567848,0.19836704432964325,0
blitz,1,0.01,False,0.0,22,64,0.1,128,False,True,0.07712418300653595,0.07712418300653595,0.7108433734939759,0.13915094339622644,0.7019258134901811,0.6468807458877563,0
blitz,1,0.01,False,0.0,22,64,0.1,128,False,False,0.0,0.0,0.0,0.0,0.46391745054111055,0.20371419191360474,0
blitz,1,0.01,False,0.0,22,128,0.1,128,True,True,0.08561643835616438,0.08561643835616438,0.6024096385542169,0.14992503748125935,0.6721811534447907,0.819041907787323,20
blitz,1,0.01,False,0.0,22,128,0.1,128,True,False,0.14,0.14,0.08433734939759036,0.10526315789473684,0.5663964154619691,0.29952675104141235,0
blitz,1,0.01,False,0.0,22,128,0.1,128,False,True,0.08846153846153847,0.08846153846153847,0.27710843373493976,0.13411078717201166,0.6709113863084074,0.6874770522117615,15
blitz,1,0.01,False,0.0,22,128,0.1,128,False,False,0.0,0.0,0.0,0.0,0.5052432625717893,0.2528650164604187,0
blitz,1,0.01,False,0.0,23,32,0.1,128,True,True,0.10726643598615918,0.10726643598615918,0.37349397590361444,0.16666666666666669,0.679471368210577,0.6794622540473938,30
blitz,1,0.01,False,0.0,23,32,0.1,128,True,False,0.0,0.0,0.0,0.0,0.5876394737034145,0.22015821933746338,0
blitz,1,0.01,False,0.0,23,32,0.1,128,False,True,0.08131487889273356,0.08131487889273356,0.5662650602409639,0.14220877458396367,0.6846380069034466,0.6332076191902161,25
blitz,1,0.01,False,0.0,23,32,0.1,128,False,False,0.0,0.0,0.0,0.0,0.489006297753096,0.1954384744167328,0
blitz,1,0.01,False,0.0,23,64,0.1,128,True,True,0.10231023102310231,0.10231023102310231,0.37349397590361444,0.16062176165803108,0.6865645501448555,0.7883481979370117,35
blitz,1,0.01,False,0.0,23,64,0.1,128,True,False,0.04918032786885246,0.04918032786885246,0.03614457831325301,0.041666666666666664,0.5870921602825597,0.20001700520515442,0
blitz,1,0.01,False,0.0,23,64,0.1,128,False,True,0.12195121951219512,0.12195121951219512,0.3614457831325301,0.182370820668693,0.6854918158399801,0.6602489352226257,30
blitz,1,0.01,False,0.0,23,64,0.1,128,False,False,0.0,0.0,0.0,0.0,0.48211014865032514,0.21217919886112213,0
blitz,1,0.01,False,0.0,23,128,0.1,128,True,True,0.09359605911330049,0.09359605911330049,0.2289156626506024,0.13286713286713286,0.6667153167485205,0.7560433149337769,25
blitz,1,0.01,False,0.0,23,128,0.1,128,True,False,0.0,0.0,0.0,0.0,0.4888311574584224,0.21390382945537567,0
blitz,1,0.01,False,0.0,23,128,0.1,128,False,True,0.07056229327453142,0.07056229327453142,0.7710843373493976,0.1292929292929293,0.6739252588792481,0.6480103731155396,15
blitz,1,0.01,False,0.0,23,128,0.1,128,False,False,0.0,0.0,0.0,0.0,0.489013595265374,0.19535866379737854,0
blitz,1,0.01,False,0.5,21,32,0.1,128,True,True,0.13377926421404682,0.13377926421404682,0.4819277108433735,0.2094240837696335,0.7182284559193771,0.6744779944419861,30
