#{"t_start": 1635085209.065227, "env_id": null}
r,l,t,is_success
-5.09179,17,2623.219637,1
-15.615192,48,2628.613088,1
-4.278177,21,2630.952484,1
-7.436305,36,2635.010777,1
-11.021904,38,2639.622443,1
-3.198689,13,2641.132445,1
-11.388005,32,2644.925938,1
-4.834699,16,2646.891017,1
-2.340106,13,2648.394572,1
-3.441853,13,2649.883585,1
-11.982827,37,2653.994504,1
-16.534308,68,2661.497494,1
-7.093335,32,2665.323719,1
-17.148461,100,2676.398463,0
-5.902362,17,2678.467654,1
-12.480772,38,2682.711164,1
-19.212772,100,2694.177709,0
-10.235185,35,2698.088315,1
-10.925925,36,2702.395661,1
-5.069427,16,2704.187465,1
-2.909902,15,2705.926851,1
-18.107673,39,2710.51606,0
-5.102306,18,2712.530191,1
-4.396236,15,2714.311145,1
-3.606346,16,2716.172028,1
-15.848652,100,2727.658296,0
-3.464857,17,2729.689564,1
-9.1367,24,2732.464182,1
-6.832868,21,2734.873684,1
-18.329528,100,2746.475032,0
-14.352808,100,2757.544621,0
-8.386975,24,2760.330612,1
-11.625584,46,2765.458625,1
-15.990694,100,2776.383464,0
-13.223378,42,2780.97913,1
-3.259468,15,2782.693192,1
-8.130143,28,2786.077824,1
-6.538734,23,2788.770765,1
-9.911647,32,2792.539171,1
-9.961079,34,2796.37881,1
-6.442277,25,2799.231493,1
-17.065068,73,2808.664714,1
-6.744718,25,2811.508494,1
-7.135258,43,2816.363922,1
-7.765079,28,2819.673375,1
-6.309736,24,2822.383055,1
-10.474711,30,2825.755033,1
-9.943831,35,2830.053026,1
-4.346865,18,2832.308119,1
-4.733229,19,2834.513935,1
-2.951586,16,2836.432992,1
-11.340055,28,2839.527213,1
-5.717823,18,2841.547427,1
-9.828358,24,2844.56767,1
-6.057834,20,2847.089328,1
-2.814354,15,2848.826318,1
-14.522135,43,2853.582832,1
-8.43228,31,2857.083684,1
-5.514069,20,2859.447539,1
-3.758112,15,2861.22733,1
-8.312394,21,2863.711837,1
-11.415513,35,2867.606383,1
-5.010662,21,2870.071887,1
-14.572473,45,2875.338178,1
